City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
5,Lorengau,PG,80.26,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
8,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
20,Lokoja,NG,79.29,clear sky,7.8024,6.743,Hotel Charvid
27,Ahipara,NZ,75.31,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
32,Rikitea,PF,78.66,overcast clouds,-23.1203,-134.9692,People ThankYou
34,Mar Del Plata,AR,78.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
38,Alta Floresta,BR,75.02,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
44,Waipawa,NZ,74.03,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
45,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
46,Alyangula,AU,82.27,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
47,Atuona,PF,78.39,light rain,-9.8,-139.0333,Villa Enata
48,Cabatuan,PH,75.02,overcast clouds,10.8794,122.486,MVC Transient Room
49,Casa Nova,BR,80.58,overcast clouds,-9.4167,-41.1333,LÔRO BEACH. DUNAS
52,Ballina,AU,75.16,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
53,Brenham,US,73.08,mist,30.1669,-96.3977,Hampton Inn & Suites Brenham
54,Villa Carlos Paz,AR,77.05,overcast clouds,-31.4241,-64.4978,Monte Carlo vcp
55,Cabo San Lucas,MX,75.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
58,Namibe,AO,72.5,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
59,Cockburn Town,TC,73.36,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
62,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
65,Black River,JM,80.6,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
68,Cedro,BR,78.66,broken clouds,-6.6067,-39.0622,Pousada & Conveniência MEDEIROS
69,Dwarka,IN,72.77,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
72,Aloleng,PH,75.42,clear sky,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
75,Tomatlan,MX,81.0,clear sky,19.9333,-105.25,El Salvial
78,Chuy,UY,71.89,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
79,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
81,Kattivakkam,IN,76.06,clear sky,13.2167,80.3167,Euronova Freezer
84,Batticaloa,LK,76.14,broken clouds,7.7102,81.6924,Grand Star Guest House
85,Kirakira,SB,83.66,moderate rain,-10.4544,161.9205,SanBiz Lodge
91,Butaritari,KI,81.66,light rain,3.0707,172.7902,Isles Sunset Lodge
92,Port Alfred,ZA,73.44,heavy intensity rain,-33.5906,26.891,The Halyards Hotel
95,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
103,Purranque,CL,79.93,broken clouds,-40.9167,-73.1667,HOSPADAJE ERICA
107,Buala,SB,81.88,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
108,Mahebourg,MU,80.26,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
109,Bengkulu,ID,76.14,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
116,Luganville,VU,85.48,broken clouds,-15.5333,167.1667,The Espiritu Hotel
118,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
