City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Punta Arenas,-53.15,-70.9167,48.31,71,75,8.05,CL,2022-02-02 22:50:20,broken clouds
1,Berlevag,70.8578,29.0864,26.85,64,100,11.88,NO,2022-02-02 22:51:56,light snow
2,Ponta Do Sol,32.6667,-17.1,67.01,77,100,6.08,PT,2022-02-02 22:49:14,overcast clouds
3,Bilibino,68.0546,166.4372,-6.84,63,49,4.9,RU,2022-02-02 22:51:57,scattered clouds
4,Carnarvon,-24.8667,113.6333,77.07,88,67,11.5,AU,2022-02-02 22:50:11,broken clouds
5,Lorengau,-2.0226,147.2712,80.26,80,100,11.54,PG,2022-02-02 22:48:56,light rain
6,Busselton,-33.65,115.3333,68.04,44,100,14.58,AU,2022-02-02 22:51:57,overcast clouds
7,Lebu,-37.6167,-73.65,62.28,83,50,11.03,CL,2022-02-02 22:50:20,scattered clouds
8,Avarua,-21.2078,-159.775,84.25,79,40,18.41,CK,2022-02-02 22:49:25,scattered clouds
9,Ushuaia,-54.8,-68.3,44.26,57,75,25.32,AR,2022-02-02 22:51:58,broken clouds
10,Torbay,47.6666,-52.7314,24.39,85,20,8.05,CA,2022-02-02 22:51:36,few clouds
11,Yellowknife,62.456,-114.3525,-24.45,75,20,3.44,CA,2022-02-02 22:51:32,few clouds
12,Victoria,22.2855,114.1577,59.95,93,100,1.01,HK,2022-02-02 22:48:18,overcast clouds
13,Albany,42.6001,-73.9662,42.48,77,86,5.55,US,2022-02-02 22:51:59,overcast clouds
14,Sortland,68.6949,15.4162,19.58,79,99,4.41,NO,2022-02-02 22:51:59,overcast clouds
15,Qasigiannguit,68.8193,-51.1922,-10.7,65,66,11.81,GL,2022-02-02 22:50:49,broken clouds
16,Roma,43.2128,-75.4557,42.66,67,0,8.05,US,2022-02-02 22:52:00,clear sky
17,Dikson,73.5069,80.5464,-8.01,98,93,10.04,RU,2022-02-02 22:52:00,overcast clouds
18,Barrow,71.2906,-156.7887,-20.18,69,0,3.44,US,2022-02-02 22:49:30,clear sky
19,Chumikan,54.7183,135.315,-13.32,87,78,12.41,RU,2022-02-02 22:52:01,broken clouds
20,Lokoja,7.8024,6.743,79.29,18,9,2.75,NG,2022-02-02 22:52:01,clear sky
21,Hermanus,-34.4187,19.2345,65.89,87,4,12.1,ZA,2022-02-02 22:51:38,clear sky
22,Cherskiy,68.75,161.3,-16.02,67,60,0.94,RU,2022-02-02 22:52:02,broken clouds
23,Castro,-24.7911,-50.0119,65.95,92,40,5.7,BR,2022-02-02 22:49:36,scattered clouds
24,Tazovskiy,67.4667,78.7,-14.57,99,95,9.08,RU,2022-02-02 22:52:02,overcast clouds
25,Severo-Kurilsk,50.6789,156.125,29.14,78,98,7.54,RU,2022-02-02 22:48:42,overcast clouds
26,Ribeira Grande,38.5167,-28.7,59.68,74,9,9.6,PT,2022-02-02 22:52:03,clear sky
27,Ahipara,-35.1667,173.1667,75.31,68,100,13.33,NZ,2022-02-02 22:52:03,overcast clouds
28,Huambo,-12.7761,15.7392,63.79,74,92,3.0,AO,2022-02-02 22:51:25,overcast clouds
29,Sorland,67.667,12.6934,28.53,59,100,15.55,NO,2022-02-02 22:52:04,overcast clouds
30,Camacha,33.0833,-16.3333,63.54,94,40,10.36,PT,2022-02-02 22:52:04,scattered clouds
31,Guerrero Negro,27.9769,-114.0611,64.6,44,2,13.82,MX,2022-02-02 22:47:25,clear sky
32,Rikitea,-23.1203,-134.9692,78.66,72,100,7.27,PF,2022-02-02 22:52:05,overcast clouds
33,Bredasdorp,-34.5322,20.0403,69.12,73,39,1.14,ZA,2022-02-02 22:52:05,scattered clouds
