City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rawson,AR,2022-01-31 00:19:28,-43.3002,-65.1023,59.95,36,57,4.38
1,Bethel,US,2022-01-31 00:19:28,41.3712,-73.414,21.49,61,1,0.0
2,Pevek,RU,2022-01-31 00:19:28,69.7008,170.3133,-16.64,99,96,1.57
3,Mount Gambier,AU,2022-01-31 00:18:13,-37.8333,140.7667,69.71,83,100,5.75
4,Havoysund,NO,2022-01-31 00:19:29,70.9963,24.6622,31.08,67,88,18.32
5,Chenghai,CN,2022-01-31 00:19:30,23.4632,116.768,51.71,71,100,6.71
6,Bluff,NZ,2022-01-31 00:19:30,-46.6,168.3333,71.8,84,82,5.21
7,Lae,PG,2022-01-31 00:19:31,-6.7221,146.9847,84.87,58,98,4.99
8,Ushuaia,AR,2022-01-31 00:18:00,-54.8,-68.3,46.06,61,40,27.63
9,Butaritari,KI,2022-01-31 00:18:11,3.0707,172.7902,81.91,77,52,20.89
10,Rikitea,PF,2022-01-31 00:18:01,-23.1203,-134.9692,76.98,65,93,4.21
11,Igarka,RU,2022-01-31 00:19:32,67.4667,86.5833,-5.87,96,99,10.38
12,Cap Malheureux,MU,2022-01-31 00:16:06,-19.9842,57.6142,78.48,82,100,1.99
13,Bambous Virieux,MU,2022-01-31 00:19:32,-20.3428,57.7575,78.22,83,99,15.52
14,Tasiilaq,GL,2022-01-31 00:19:33,65.6145,-37.6368,8.76,54,100,10.18
15,Barrow,US,2022-01-31 00:15:02,71.2906,-156.7887,-7.58,77,40,9.22
16,Busselton,AU,2022-01-31 00:18:10,-33.65,115.3333,68.09,57,93,19.69
17,Ribeira Grande,PT,2022-01-31 00:19:34,38.5167,-28.7,59.74,71,63,23.22
18,Tahoua,NE,2022-01-31 00:19:34,14.8888,5.2692,64.56,14,5,12.82
19,Albany,US,2022-01-31 00:16:12,42.6001,-73.9662,15.53,50,23,3.83
20,New Norfolk,AU,2022-01-31 00:19:34,-42.7826,147.0587,81.66,38,3,1.99
21,Jamestown,US,2022-01-31 00:19:35,42.097,-79.2353,15.3,82,100,0.0
22,Caravelas,BR,2022-01-31 00:19:35,-17.7125,-39.2481,79.57,83,50,11.97
23,Kaitangata,NZ,2022-01-31 00:19:37,-46.2817,169.8464,69.93,71,14,6.22
24,Pisco,PE,2022-01-31 00:14:46,-13.7,-76.2167,73.45,73,75,4.61
25,Puerto Ayora,EC,2022-01-31 00:18:13,-0.7393,-90.3518,74.64,78,100,7.67
26,Copiapo,CL,2022-01-31 00:19:27,-27.3667,-70.3333,67.37,65,0,5.46
27,Punta Arenas,CL,2022-01-31 00:14:42,-53.15,-70.9167,50.11,57,75,31.07
28,San Patricio,US,2022-01-31 00:19:38,28.017,-97.5169,66.18,70,58,10.94
29,Mar Del Plata,AR,2022-01-31 00:19:38,-38.0023,-57.5575,67.87,78,100,13.0
30,Mafeteng,LS,2022-01-31 00:19:39,-29.823,27.2374,62.4,81,99,6.22
31,Padang,ID,2022-01-31 00:19:39,-0.9492,100.3543,73.45,87,97,3.49
32,Lebu,CL,2022-01-31 00:19:40,-37.6167,-73.65,58.21,71,0,21.14
33,Faanui,PF,2022-01-31 00:19:40,-16.4833,-151.75,80.98,71,17,11.61
34,Ligayan,PH,2022-01-31 00:19:41,4.6533,119.4706,82.18,70,88,8.41
35,Provideniya,RU,2022-01-31 00:19:41,64.3833,-173.3,10.51,67,0,17.9
36,Khatanga,RU,2022-01-31 00:18:16,71.9667,102.5,-5.31,98,98,8.84
37,Yar-Sale,RU,2022-01-31 00:19:42,66.8333,70.8333,-1.17,94,93,7.96
38,Severo-Kurilsk,RU,2022-01-31 00:19:43,50.6789,156.125,28.24,95,100,7.7
39,Nome,US,2022-01-31 00:19:43,64.5011,-165.4064,0.16,65,0,0.0
40,Coquimbo,CL,2022-01-31 00:19:44,-29.9533,-71.3436,64.76,84,36,6.69
41,Snagov,RO,2022-01-31 00:19:44,44.7,26.1833,39.79,69,0,14.97
42,Hella,NO,2022-01-31 00:19:45,67.2,14.4333,26.74,93,75,9.22
43,Yurimaguas,PE,2022-01-31 00:19:45,-5.9,-76.0833,74.53,92,98,3.04
44,Nanortalik,GL,2022-01-31 00:19:46,60.1432,-45.2371,19.22,74,100,20.92
45,Pitimbu,BR,2022-01-31 00:20:46,-7.4706,-34.8086,79.39,78,14,10.07
46,Longyearbyen,SJ,2022-01-31 00:20:47,78.2186,15.6401,8.44,66,0,18.41
47,Faya,SA,2022-01-31 00:20:47,18.3851,42.4509,53.71,73,5,4.7
48,Bredasdorp,ZA,2022-01-31 00:18:17,-34.5322,20.0403,70.92,83,88,8.05
49,Sucua,EC,2022-01-31 00:20:48,-2.4667,-78.1667,69.73,95,100,2.15
50,Ayagoz,KZ,2022-01-31 00:20:48,47.9714,80.4392,5.4,100,98,1.07
51,Vaini,TO,2022-01-31 00:18:06,-21.2,-175.2,80.98,74,100,10.31
52,Castro,BR,2022-01-31 00:18:11,-24.7911,-50.0119,62.76,99,98,8.77
53,Namikupa,TZ,2022-01-31 00:20:49,-10.8333,39.6,69.64,98,40,0.43
54,Haines Junction,CA,2022-01-31 00:20:49,60.7522,-137.5108,10.35,52,93,13.8
55,Cape Town,ZA,2022-01-31 00:20:50,-33.9258,18.4232,72.01,77,0,4.0
56,Mount Isa,AU,2022-01-31 00:20:50,-20.7333,139.5,80.37,89,100,11.5
57,Clyde River,CA,2022-01-31 00:20:50,70.4692,-68.5914,-25.37,75,75,2.3
58,Zlobin,HR,2022-01-31 00:20:51,45.2924,14.6541,37.62,89,0,1.14
59,Upernavik,GL,2022-01-31 00:18:00,72.7868,-56.1549,-6.81,99,100,3.0
60,Sao Filipe,CV,2022-01-31 00:20:51,14.8961,-24.4956,71.55,72,99,14.18
61,Mataura,NZ,2022-01-31 00:20:52,-46.1927,168.8643,72.48,54,49,2.42
62,Santa Vitoria Do Palmar,BR,2022-01-31 00:20:52,-33.5189,-53.3681,71.2,76,3,13.44
63,Yellowknife,CA,2022-01-31 00:18:02,62.456,-114.3525,-6.45,81,75,6.91
64,Saint Anthony,US,2022-01-31 00:20:54,45.0205,-93.218,19.94,69,1,0.0
65,Anito,PH,2022-01-31 00:20:54,12.4497,125.2886,79.32,84,57,2.42
66,Vostok,RU,2022-01-31 00:15:57,46.4856,135.8833,-7.98,92,52,1.21
67,Hilo,US,2022-01-31 00:14:34,19.7297,-155.09,80.33,58,40,8.05
68,Kapaa,US,2022-01-31 00:20:55,22.0752,-159.319,81.48,71,0,1.99
69,Cutervo,PE,2022-01-31 00:20:55,-6.379,-78.8157,51.44,83,100,5.93
70,Jumla,NP,2022-01-31 00:20:56,29.2747,82.1838,34.66,44,0,3.94
71,Constitucion,CL,2022-01-31 00:20:57,-35.3333,-72.4167,59.83,76,4,16.64
72,Fort Nelson,CA,2022-01-31 00:18:34,58.8053,-122.7002,-0.81,71,75,9.22
73,Bandarbeyla,SO,2022-01-31 00:20:57,9.4942,50.8122,76.1,75,100,16.26
74,Luderitz,NA,2022-01-31 00:17:21,-26.6481,15.1594,64.33,88,60,12.46
75,Boa Vista,BR,2022-01-31 00:20:58,2.8197,-60.6733,85.98,48,40,6.91
76,Mahebourg,MU,2022-01-31 00:20:58,-20.4081,57.7,78.26,82,100,15.93
77,Souillac,MU,2022-01-31 00:20:59,-20.5167,57.5167,78.37,84,100,12.82
78,Port Elizabeth,ZA,2022-01-31 00:18:02,-33.918,25.5701,68.29,94,20,10.36
79,Norman Wells,CA,2022-01-31 00:20:59,65.282,-126.8329,-23.76,69,75,2.3
80,Cherskiy,RU,2022-01-31 00:19:38,68.75,161.3,-28.21,99,98,1.63
81,Dingle,PH,2022-01-31 00:21:00,10.9995,122.6711,78.4,85,51,5.41
82,Klaksvik,FO,2022-01-31 00:21:00,62.2266,-6.589,34.72,54,99,40.24
83,Cabo San Lucas,MX,2022-01-31 00:21:00,22.8909,-109.9124,77.61,66,20,6.91
84,Glasgow,GB,2022-01-31 00:20:02,55.8652,-4.2576,43.16,73,40,33.38
85,Tautira,PF,2022-01-31 00:17:17,-17.7333,-149.15,86.02,75,92,12.37
86,La Asuncion,VE,2022-01-31 00:21:01,11.0333,-63.8628,74.93,94,41,16.11
87,Bara,NG,2022-01-31 00:21:02,10.3744,10.7288,65.16,21,84,9.1
88,East London,ZA,2022-01-31 00:21:02,-33.0153,27.9116,74.16,84,88,14.05
89,Avarua,CK,2022-01-31 00:21:03,-21.2078,-159.775,73.45,94,20,6.91
90,Bafoulabe,ML,2022-01-31 00:21:03,13.8065,-10.8321,82.62,11,21,7.76
91,Moron,AR,2022-01-31 00:21:04,-34.6534,-58.6198,81.01,57,0,3.0
92,Monte Carmelo,BR,2022-01-31 00:22:04,-18.7247,-47.4986,67.93,93,96,3.53
93,Carnarvon,AU,2022-01-31 00:22:05,-24.8667,113.6333,84.27,58,44,21.85
94,Praia Da Vitoria,PT,2022-01-31 00:22:05,38.7333,-27.0667,59.25,82,40,21.74
